Name,TUP ID, password,Year and section,Contact number, Email,NoOfBorrowed
Yhpshuhqj Rqfkduhq,678925,123, FXVR5D,2456789014, yhpshuhqj.rqfkduhq@wxcq.hrg.zk,1
Fqsxduh Lqfkduhq,901234,3210, FVPL1E,2109876541, fqsxduh.lqfkduhq@wxcq.hrg.zk,0
Fdpodq Uhbvb,45678,9012, FVVR1E,2109876543, fdpodq.uhbvb@wxcq.hrg.zk,0
Ghkqj Urjfd,456781,3456, FVVR-QV6F,2456789013, ghkqj.urjfd@wxcq.hrg.zk,2
Ksholq Jrdqg,901267,8901, FVPL6F,2456789015, ksholq.jrdqg@wxcq.hrg.zk,0
Jdeholq Uhbvb,901263,8765, FVVR-QV5D,2456789010, jdeholq.uhbvb@wxcq.hrg.zk,3
Phokhu Vgrxu,123569,7890, FVVR6F,2456789011, phokhu.vgrxu@wxcq.hrg.zk,0
Mrvh Sdqwduqle,678956,5432, FVPL2E,3521098765, mrvh.sdqwduqle@wxcq.hrg.zk,0
Mxdo Ghoohf,456781,5678, FVVR1D,2456789018, mxdo.ghoohf@wxcq.hrg.zk,1
Sruvxd Ghoohf,123489,2345, FVVR-QV9A,2109876542, sruvxd.ghoohf@wxcq.hrg.zk,0
Sruwudq Vgrxu,789098,9876, FVVR-QV6Y,2109876549, sruwudq.vgrxu@wxcq.hrg.zk,0
Sruwudq Vsurv,678956,4567, FVVR-QV1E,2109876547, sruwudq.vsurv@wxcq.hrg.zk,2
Ploljg Wrwurv,234561,5678, FVPL4Y,2109876544, ploljg.wrwurv@wxcq.hrg.zk,0
Ydoigdqhq Sudilwfh,789034,4321, FVVR4A,2109876548, ydoigdqhq.sudilwfh@wxcq.hrg.zk,0
Ydoiwphqdu Sudilwgh,234598,6789, FVPL4A,2109876546, ydoiwphqdu.sudilwgh@wxcq.hrg.zk,0
