Title,ISBN,TUP ID,dateBorrowed,dateToReturn,Status,Reference No.,Borrower,Author,Librarian,Fine
BOOK2,1234,555555,7/9/23,7/14/23,TO RETURN,259022,alex ,A,MS. LAICA YGOT,0
BOOK1,1,123456,7/9/23,7/9/23,TO APPROVE,573428,ABBY,1,MS. LAICA YGOT,0
BOOK2,1234,123456,7/9/23,7/9/23,TO APPROVE,508467,ABBY,A,MS. LAICA YGOT,0
BOOK2,1234,123456,7/9/23,7/11/23,TO APPROVE,382664,ABBY,A,MS. LAICA YGOT,0
BOOK2,1234,123456,7/9/23,7/9/23,TO APPROVE,519748,ABBY,A,MS. LAICA YGOT,0
BOOK2,1234,123456,7/9/23,7/9/23,TO APPROVE,599055,ABBY,A,MS. LAICA YGOT,0
BOOK3,3,123456,7/9/23,7/9/23,TO APPROVE,751478,ABBY,3,MS. LAICA YGOT,0
BOOK1,12,123456,7/9/23,7/9/23,TO APPROVE,332316,ABBY,1,MS. LAICA YGOT,0
BOOK3,3,123456,7/9/23,7/9/23,TO APPROVE,269538,ABBY,3,MS. LAICA YGOT,0
BOOK3,3,555555,7/8/23,7/8/23,TO APPROVE,542370,alex ,3,MS. LAICA YGOT,0
BOOK3,3,555555,7/8/23,7/8/23,TO APPROVE,144047,alex ,3,MS. LAICA YGOT,0
BOOK2,1234,555555,7/8/23,7/8/23,TO APPROVE,347598,alex ,A,MS. LAICA YGOT,0
BOOK2,1234,555555,7/8/23,7/8/23,TO APPROVE,102587,alex ,A,MS. LAICA YGOT,0
BOOK3,3,555555,7/8/23,7/8/23,TO APPROVE,542720,alex ,3,MS. LAICA YGOT,0
BOOK1,12,555555,7/8/23,7/8/23,TO APPROVE,757577,alex ,1,MS. LAICA YGOT,0
BOOK2,1234,666666,7/8/23,7/8/23,TO APPROVE,267201,Paulo ,A,MS. LAICA YGOT,0
BOOK3,3,666666,7/8/23,7/8/23,TO APPROVE,706757,Paulo ,3,MS. LAICA YGOT,0
BOOK3,3,777777,7/8/23,7/8/23,TO APPROVE,126158,Paulo ,3,MS. LAICA YGOT,0
BOOK2,1234,444444,7/8/23,7/8/23,TO APPROVE,510409,Lai ,A,MS. LAICA YGOT,0
BOOK1,12,444444,7/8/23,7/8/23,TO APPROVE,832197,Lai ,1,MS. LAICA YGOT,0
BOOK2,1234,444444,7/8/23,7/8/23,TO APPROVE,124538,Lai ,A,MS. LAICA YGOT,0
BOOK2,1234,333333,7/8/23,7/8/23,TO APPROVE,198865,PAULO,A,MS. LAICA YGOT,0
BOOK3,3,333333,7/8/23,7/8/23,TO APPROVE,677289,PAULO,3,MS. LAICA YGOT,0
BOOK1,12,333333,7/8/23,7/8/23,TO APPROVE,513070,PAULO,1,MS. LAICA YGOT,0
BOOK2,1234,333333,7/8/23,7/8/23,TO APPROVE,678017,PAULO,A,MS. LAICA YGOT,0
BOOK2,1234,333333,7/8/23,7/8/23,TO APPROVE,285711,PAULO,A,MS. LAICA YGOT,0
BOOK3,3,333333,7/8/23,7/8/23,TO APPROVE,317258,PAULO,3,MS. LAICA YGOT,0
BOOK2,1234,222222,7/8/23,7/8/23,TO APPROVE,761142,2,A,MS. LAICA YGOT,0
BOOK1,12,222222,7/8/23,7/9/23,TO RETURN,369905,2,1,MS. LAICA YGOT,0
BOOK2,1234,222222,7/8/23,7/8/23,TO APPROVE,755779,2,A,MS. LAICA YGOT,0
BOOK3,3,111111,7/8/23,7/8/23,TO APPROVE,926414,B1,3,MS. LAICA YGOT,0
BOOK2,1234,111111,7/8/23,7/12/23,TO APPROVE,740898,B1,A,MS. LAICA YGOT,0
BOOK2,1234,111111,7/8/23,7/8/23,TO APPROVE,676325,B1,A,MS. LAICA YGOT,0
BOOK3,3,210412,7/8/23,7/8/23,TO APPROVE,689277,Paulo ,3,MS. LAICA YGOT,0
BOOK3,3,123456,7/7/23,7/7/23,TO APPROVE,414570,ABBY,3,MS. LAICA YGOT,0
BOOK2,1234,123456,7/7/23,7/7/23,TO APPROVE,760739,ABBY,A,MS. LAICA YGOT,0
